OBJECTID,NAME10,NAMELSAD10,POPULATION,HOUSING_UN
5,402.01,Census Tract 402.01,5041,2023
6,402.03,Census Tract 402.03,5017,2022
7,402.02,Census Tract 402.02,12763,4751
8,418.02,Census Tract 418.02,5203,2054
9,425,Census Tract 425,3455,1490
10,401,Census Tract 401,6541,2469
11,429,Census Tract 429,4794,1924
12,428,Census Tract 428,7085,2972
14,434,Census Tract 434,4146,1752
15,9900,Census Tract 9900,0,0
13,433,Census Tract 433,6131,1743
16,405.01,Census Tract 405.01,4923,2079
17,432.02,Census Tract 432.02,3790,1944
18,102,Census Tract 102,1982,766
1,405.02,Census Tract 405.02,1981,911
2,417.01,Census Tract 417.01,5798,2437
3,431,Census Tract 431,2630,1047
4,430,Census Tract 430,5226,2227
31,412,Census Tract 412,4206,1745
32,411,Census Tract 411,3740,1147
42,148.08,Census Tract 148.08,6318,2595
43,104,Census Tract 104,4490,2028
44,103,Census Tract 103,2861,1129
45,154,Census Tract 154,3190,1119
33,410,Census Tract 410,5995,2719
34,422.02,Census Tract 422.02,8857,3408
35,418.01,Census Tract 418.01,9633,3852
36,421,Census Tract 421,3859,1602
37,420,Census Tract 420,3173,1220
38,110,Census Tract 110,3163,1281
39,109,Census Tract 109,2745,1138
40,108,Census Tract 108,4631,2051
41,148.05,Census Tract 148.05,10215,3465
19,101.01,Census Tract 101.01,4573,2209
20,129,Census Tract 129,4720,2017
21,136.12,Census Tract 136.12,6160,2260
22,422.01,Census Tract 422.01,9766,3679
23,409,Census Tract 409,2561,1211
24,407,Census Tract 407,4824,2086
25,419,Census Tract 419,5276,2037
26,417.02,Census Tract 417.02,4216,1571
27,416,Census Tract 416,2089,899
28,415,Census Tract 415,3875,1616
29,414,Census Tract 414,3648,1628
30,413,Census Tract 413,2068,1073
73,101.04,Census Tract 101.04,3422,1740
74,158.02,Census Tract 158.02,2416,790
75,9900,Census Tract 9900,0,0
76,512.03,Census Tract 512.03,840,2414
46,512.02,Census Tract 512.02,926,1845
47,512.04,Census Tract 512.04,710,3050
48,507.04,Census Tract 507.04,3931,2993
49,507.03,Census Tract 507.03,2036,1565
50,504.08,Census Tract 504.08,4472,1817
51,504.05,Census Tract 504.05,3713,1678
52,136.13,Census Tract 136.13,5526,2197
53,168.01,Census Tract 168.01,5747,1934
54,119,Census Tract 119,3338,1321
55,126,Census Tract 126,2776,1102
56,138,Census Tract 138,5464,2255
57,26,Census Tract 26,3922,1486
58,23,Census Tract 23,3197,1242
59,22,Census Tract 22,3271,1086
60,21,Census Tract 21,1847,937
61,9801,Census Tract 9801,0,0
62,29,Census Tract 29,3570,1728
63,28,Census Tract 28,1917,1401
64,148.09,Census Tract 148.09,7684,3095
65,149.08,Census Tract 149.08,2209,1107
66,169.04,Census Tract 169.04,4111,599
67,168.04,Census Tract 168.04,6828,2199
68,163.05,Census Tract 163.05,7491,2976
69,164.04,Census Tract 164.04,2988,1154
70,166.08,Census Tract 166.08,4307,1476
71,149.09,Census Tract 149.09,6059,2411
72,148.10,Census Tract 148.10,7061,2614
94,505.03,Census Tract 505.03,5329,1588
95,510.04,Census Tract 510.04,4200,2842
100,512.01,Census Tract 512.01,1267,2842
101,155.02,Census Tract 155.02,2848,1086
102,139.03,Census Tract 139.03,4983,1671
96,513.06,Census Tract 513.06,2426,3013
97,513.05,Census Tract 513.05,2762,2421
98,512.05,Census Tract 512.05,699,1841
99,507.06,Census Tract 507.06,1506,1962
77,136.15,Census Tract 136.15,3710,1998
78,136.14,Census Tract 136.14,3132,1349
79,19.02,Census Tract 19.02,1918,1032
80,30.02,Census Tract 30.02,3275,710
81,9901,Census Tract 9901,0,0
82,507.05,Census Tract 507.05,4353,3905
83,510.05,Census Tract 510.05,4205,2895
84,509.01,Census Tract 509.01,2244,1914
85,509.02,Census Tract 509.02,4243,3687
104,502,Census Tract 502,3195,1296
105,501.03,Census Tract 501.03,4445,2312
106,506.02,Census Tract 506.02,5557,2616
86,105.02,Census Tract 105.02,5579,2710
87,511.01,Census Tract 511.01,652,1947
88,511.02,Census Tract 511.02,1164,2307
89,510.06,Census Tract 510.06,2724,2299
90,511.03,Census Tract 511.03,900,2423
91,510.07,Census Tract 510.07,4540,4415
92,505.04,Census Tract 505.04,6136,1782
93,504.06,Census Tract 504.06,4996,2050
127,513.03,Census Tract 513.03,4532,4377
128,514,Census Tract 514,3578,1454
129,513.01,Census Tract 513.01,4936,3736
130,508.02,Census Tract 508.02,4748,2248
131,508.03,Census Tract 508.03,6256,4102
132,504.01,Census Tract 504.01,3794,1569
133,127,Census Tract 127,4421,1954
103,507.01,Census Tract 507.01,3584,1752
107,506.01,Census Tract 506.01,5057,1942
108,517.01,Census Tract 517.01,3984,1607
109,518.01,Census Tract 518.01,4882,2116
110,504.03,Census Tract 504.03,3403,1367
111,510.03,Census Tract 510.03,4720,3901
112,519,Census Tract 519,4565,1833
113,501.04,Census Tract 501.04,4311,1747
114,504.07,Census Tract 504.07,4738,1904
115,501.05,Census Tract 501.05,5497,2240
116,107.02,Census Tract 107.02,4994,2668
117,135.06,Census Tract 135.06,4833,1643
118,135.05,Census Tract 135.05,3147,1151
119,149.07,Census Tract 149.07,4843,1964
120,139.04,Census Tract 139.04,7780,3199
121,149.06,Census Tract 149.06,4726,2043
122,152,Census Tract 152,5929,2008
123,503.01,Census Tract 503.01,6917,2971
124,501.01,Census Tract 501.01,3769,1551
125,515,Census Tract 515,5092,2160
126,513.02,Census Tract 513.02,2742,1712
154,125,Census Tract 125,5410,2310
155,122,Census Tract 122,4447,1847
156,9,Census Tract 9,2223,990
157,6.02,Census Tract 6.02,2649,1322
158,6.01,Census Tract 6.01,2910,1025
168,166.04,Census Tract 166.04,11407,4040
169,166.02,Census Tract 166.02,6456,2175
159,518.02,Census Tract 518.02,4190,1755
160,517.02,Census Tract 517.02,5613,2303
161,508.01,Census Tract 508.01,3569,1688
162,503.02,Census Tract 503.02,4995,1882
163,505.01,Census Tract 505.01,3502,1400
164,149.03,Census Tract 149.03,7133,2377
165,149.04,Census Tract 149.04,4975,2185
166,159,Census Tract 159,3319,1256
167,169.01,Census Tract 169.01,2235,863
134,123,Census Tract 123,2611,1207
135,16,Census Tract 16,2387,1162
136,15,Census Tract 15,2303,1202
137,14,Census Tract 14,2152,1050
138,13,Census Tract 13,3468,1852
139,5,Census Tract 5,3647,1534
140,4,Census Tract 4,2956,1601
141,3,Census Tract 3,3194,1317
142,121,Census Tract 121,3152,1271
143,120,Census Tract 120,4419,1855
144,145.01,Census Tract 145.01,2113,905
145,144.02,Census Tract 144.02,3220,1498
146,147.03,Census Tract 147.03,4720,2008
147,141,Census Tract 141,4857,1873
148,12,Census Tract 12,1529,864
149,11,Census Tract 11,3260,2497
150,148.07,Census Tract 148.07,8470,3218
151,124,Census Tract 124,4602,1914
152,163.02,Census Tract 163.02,7434,2573
153,163.01,Census Tract 163.01,5053,2115
198,139.01,Census Tract 139.01,2833,1133
199,136.11,Census Tract 136.11,5753,2564
200,164.01,Census Tract 164.01,5828,1946
201,130,Census Tract 130,1823,764
170,136.07,Census Tract 136.07,5929,2985
171,136.08,Census Tract 136.08,1891,799
172,136.04,Census Tract 136.04,4074,1664
173,116,Census Tract 116,3281,1391
174,114,Census Tract 114,3358,1414
175,113,Census Tract 113,2367,1022
176,112.06,Census Tract 112.06,4187,1637
177,112.05,Census Tract 112.05,2024,766
178,134,Census Tract 134,2605,1090
179,133,Census Tract 133,1867,778
180,148.03,Census Tract 148.03,3927,1837
181,147.05,Census Tract 147.05,5416,2097
182,2,Census Tract 2,5438,2352
183,27,Census Tract 27,2108,844
184,25,Census Tract 25,3039,1350
185,24,Census Tract 24,4671,2236
186,140,Census Tract 140,5276,2368
187,147.02,Census Tract 147.02,1927,725
188,145.02,Census Tract 145.02,6439,1427
189,144.04,Census Tract 144.04,3473,1518
190,117,Census Tract 117,3974,1809
191,147.06,Census Tract 147.06,2974,1102
192,144.03,Census Tract 144.03,5237,1685
193,143,Census Tract 143,7009,1628
194,142,Census Tract 142,1627,664
195,137,Census Tract 137,3904,1659
196,136.10,Census Tract 136.10,6127,2290
197,115,Census Tract 115,2816,1257
202,166.01,Census Tract 166.01,11362,4070
203,156,Census Tract 156,2338,878
204,150,Census Tract 150,5371,2139
205,132,Census Tract 132,2697,1048
206,131,Census Tract 131,2602,1062
207,135.03,Census Tract 135.03,7472,2687
208,135.01,Census Tract 135.01,6602,2581
209,118,Census Tract 118,4177,2304
210,112.04,Census Tract 112.04,3309,1456
211,112.03,Census Tract 112.03,4605,2142
212,112.02,Census Tract 112.02,3902,1542
213,112.01,Census Tract 112.01,2246,894
214,111,Census Tract 111,2673,1225
215,151,Census Tract 151,3450,1398
216,162,Census Tract 162,2688,1295
217,161,Census Tract 161,1954,914
218,160,Census Tract 160,2801,1075
